x,y
1.36754,51.3604
1.37107,51.3639
1.3746,51.3674
1.37813,51.3709
1.38166,51.3743
1.3852,51.3778
1.38873,51.3813
1.39226,51.3848
1.39579,51.3883
1.39932,51.3918
1.40285,51.3953
1.40639,51.3988
1.40992,51.4023
1.41345,51.4058
1.41698,51.4093
1.42051,51.4128
1.42404,51.4163
1.42758,51.4198
1.43111,51.4233
1.43464,51.4268
1.43817,51.4302
1.4417,51.4337
1.44523,51.4372
1.44877,51.4407
1.4523,51.4442
1.45583,51.4477
1.45936,51.4512
1.46289,51.4547
1.46642,51.4582
1.46996,51.4617
1.47349,51.4652
1.47702,51.4687
1.48055,51.4721
1.48408,51.4756
1.48761,51.4791
1.49114,51.4826
1.49468,51.4861
1.49821,51.4896
1.50174,51.4931
1.50527,51.4966
1.5088,51.5001
1.51233,51.5036
1.51586,51.5071
1.5194,51.5105
1.52293,51.514
1.52646,51.5175
1.52999,51.521
1.53352,51.5245
1.53705,51.528
1.54058,51.5315
1.54412,51.535
1.54765,51.5385
1.55118,51.542
1.55471,51.5454
1.55824,51.5489
1.56177,51.5524
1.5653,51.5559
1.56884,51.5594
1.57237,51.5629
1.5759,51.5664
1.57943,51.5699
1.58296,51.5734
1.58649,51.5768
1.59002,51.5803
1.59355,51.5838
1.59709,51.5873
1.60062,51.5908
1.60415,51.5943
1.60768,51.5978
1.61121,51.6013
1.61474,51.6047
1.61827,51.6082
1.6218,51.6117
1.62533,51.6152
1.62887,51.6187
1.6324,51.6222
1.63593,51.6257
1.63946,51.6292
1.64299,51.6326
1.64652,51.6361
1.65005,51.6396
1.65358,51.6431
1.65711,51.6466
1.66065,51.6501
1.66418,51.6536
1.66771,51.657
1.67124,51.6605
1.67477,51.664
1.6783,51.6675
1.68183,51.671
1.68536,51.6745
1.68889,51.678
1.69242,51.6814
1.69596,51.6849
1.69949,51.6884
1.70302,51.6919
1.70655,51.6954
1.71008,51.6989
1.71361,51.7024
1.71714,51.7058
